DWO ID,Bureau stn_num,DWO name,latitude,longitude
4022,29077,Burketown Airport,-17.7483,139.5356
4024,31011,Cairns,-16.8736,145.7458
4025,37010,Camooweal,-19.9225,138.1214
4026,40043,Cape Moreton,-27.0314,153.4661
4027,32004,Cardwell,-18.2553,146.0197
4028,44021,Charleville,-26.4139,146.2558
4029,34084,Charters Towers,-20.0464,146.2708
4030,35019,Clermont,-22.8239,147.6425
4031,29141,Cloncurry,-20.6664,140.505
4032,27054,Coconut Island,-10.0511,143.0686
4033,27073,Coen,-13.7606,143.1183
4034,33013,Collinsville,-20.5534,147.8464
4035,31209,Cooktown,-15.4461,145.1861
4036,40717,Coolangatta,-28.1681,153.5053
4037,29012,Croydon,-18.2044,142.2447
4038,44026,Cunnamulla,-28.0706,145.6808
4039,41522,Dalby,-27.1605,151.2634
4041,40068,Double Island Point,-25.9319,153.1906
4042,35264,Emerald,-23.5694,148.1756
4043,200783,Flinders Reef,-17.7195,148.4478
4044,40082,Gatton,-27.5436,152.3375
4045,39066,Gayndah Airport,-25.6167,151.6156
4047,30124,Georgetown,-18.3039,143.5306
4048,39326,Gladstone Airport,-23.8697,151.2214
4049,39123,Gladstone,-23.8553,151.2628
4050,40764,Gold Coast,-27.939,153.4283
4051,41521,Goondiwindi,-28.5211,150.3256
4052,31192,Green Island,-16.7614,145.9719
4053,40093,Gympie,-26.1831,152.6414
4054,33106,Hamilton Island,-20.3658,148.9536
4055,39122,Heron Island,-23.4422,151.9131
4056,40405,Hervey Bay,-25.322,152.8817
4057,40584,Hinze Dam,-28.0481,153.2875
4058,200732,Holmes Reef,-16.4683,147.8734
4059,27058,Horn Island,-10.5844,142.29
4060,30022,Hughenden,-20.8192,144.2333
4061,32078,Ingham,-18.6494,146.1769
4062,41097,Inglewood,-28.3429,150.9363
4063,43015,Injune,-25.8428,148.5669
4064,32025,Innisfail,-17.5249,146.0345
4065,36026,Isisford,-24.2591,144.4406
4066,40651,Jimna,-26.6644,152.4606
4067,29058,Julia Creek,-20.6672,141.7214
4068,31034,Kairi,-17.215,145.5656
4069,40922,Kingaroy,-26.5737,151.8398
4070,29038,Kowanyama,-15.4818,141.7483
4071,39059,Lady Elliot Island,-24.1116,152.7161
4072,28008,Lockhart River,-12.785,143.3047
4073,40854,Logan City,-27.6839,153.1947
4074,36031,Longreach,-23.4372,144.2769
4075,31037,Low Isles,-16.3842,145.5592
4076,32141,Lucinda Point,-18.5203,146.3861
4077,33045,Mackay Airport,-21.1706,149.1794
4078,33119,Mackay,-21.1172,149.2169
4079,40121,Maleny,-26.7528,152.8519
4080,31210,Mareeba,-17.0672,145.4283
4081,40861,Maroochydore,-26.6006,153.0903
4082,40126,Maryborough,-25.5161,152.7156
4083,42112,Miles,-26.6569,150.1819
4085,43020,Mitchell,-26.4888,147.9777
4086,39104,Monto,-24.8642,151.1247
4087,34038,Moranbah,-21.9947,148.0308
4088,29039,Mornington Island,-16.664,139.1837
4089,29127,Mount Isa,-20.6778,139.4875
4090,28007,Musgrave,-14.7803,143.5036
4091,40988,Nambour,-26.6442,152.9383
4092,29063,Normanton,-17.6872,141.0733
4093,41359,Oakey,-27.4034,151.7413
4094,28004,Palmerville,-16.0008,144.0758
4095,40209,Point Lookout,-27.4361,153.5456
4096,33247,Proserpine,-20.4925,148.555
4097,45015,Quilpie,-26.6125,144.2578
4098,40856,Rainbow Beach,-25.9007,153.0891
4099,40958,Redcliffe,-27.2169,153.0922
4100,30161,Richmond Airport,-20.7017,143.1167
4101,30045,Richmond,-20.7289,143.1425
4102,39083,Rockhampton,-23.3753,150.4775
4103,35059,Rolleston,-24.4619,148.6261
4104,43091,Roma,-26.5442,148.7778
4105,39322,Rundle Island,-23.5293,151.2763
4106,33308,Samuel Hill,-22.7433,150.6578
4107,39085,Sandy Cape,-24.7297,153.2083
4108,32037,South Johnstone,-17.6053,145.9972
4109,35065,Springsure,-24.1221,148.0866
4110,43109,St George,-28.0489,148.5942
4111,33065,St Lawrence,-22.3458,149.5356
4112,41095,Stanthorpe,-28.6617,151.9339
4113,43035,Surat,-27.159,149.0703
4114,29139,Sweers Island,-17.1142,139.5981
4115,35069,Tambo,-24.8819,146.2564
4116,35070,Taroom,-25.6408,149.7958
